"OTUs";"taxa";"Log_ratio.max";"glmnet_sign.ext.3.T2C";"glmnet_sign.ext.3.T2HW";"glmnet_sign.ext.5.T2C";"glmnet_sign.ext.5.T2HW";"glmnet_sign.ext.10.T2C";"glmnet_sign.ext.10.T2HW";"Aldex.kw.noadjust.0.05";"simper.rel";"CYM_T2C_1";"CYM_T2C_2";"CYM_T2C_3";"CYM_T2HW_1";"CYM_T2HW_2";"CYM_T2HW_3"
"OTU71";"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Robiginitalea;__";0;0;0;0;1;0;1;0;1;0,00431072306072306;0,00522082977211644;0,00473616473616474;0,00445795569268464;0,00248519458544839;0,00319165498988012
"OTU72";"d__Bacteria;p__Calditrichota;c__Calditrichia;o__Calditrichales;f__Calditrichaceae;g__Calorithrix;s__uncultured_bacterium";0;0;0;0;0;0;0;0;1;0,00146981396981397;0,00228604380554211;0,00240926640926641;0,00501378222943158;0,00399746192893401;0,00260225528791619
"OTU73";"d__Bacteria;p__Bacteroidota;c__Kryptonia;o__Kryptoniales;f__BSV26;g__BSV26;__";1;0;0;0;0;0;0;0;0;0,000142593892593893;0,000236842376249858;0,000277992277992278;0,000351645359982758;0,000370135363790186;0,000366984720090745
"OTU74";"d__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__uncultured;__";0;0;0;0;0;0;0;0;1;0,000252281502281502;0,000226544881630299;0,000226512226512227;0,0000340301961273637;0,00255922165820643;0,000311380974622451
"OTU75";"d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__ADurb.Bin120;s__uncultured_bacterium";0;0;0;0;0;0;0;0;0;0,000164531414531415;0,000205949892391181;0,000144144144144144;0,000136120784509455;0,000222081218274112;0,000300260225528792
"OTU76";"d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__Woesearchaeales;g__Woesearchaeales;__";0;0;0;0;0;1;0;0;1;0,0233524921024921;0,0297391644612866;0,0244942084942085;0,02413875245301;0,0283206429780034;0,0238984898022731
"OTU77";"d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__uncultured;f__uncultured;g__uncultured;s__uncultured_Thermoplasmatales";0;0;0;0;0;0;0;0;0;0,000581344331344331;0,000432494774021481;0,000247104247104247;0,000533139739328698;0,000666243654822335;0,000433709214652699
"OTU78";"d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae;g__Spirochaeta;__";1;1;0;1;0;1;0;0;1;0,00177693927693928;0,00159611166603165;0,00168854568854569;0,00342570641015461;0,00287648054145516;0,00319165498988012
"OTU79";"d__Bacteria;p__Acidobacteriota;c__Subgroup_21;o__Subgroup_21;f__Subgroup_21;g__Subgroup_21;s__uncultured_bacterium";0;0;0;0;0;0;0;0;1;0,00263250263250263;0,00354233814912832;0,00288288288288288;0,0042764613133387;0,00375423011844332;0,00433709214652699
"OTU80";"d__Bacteria;__;__;__;__;__;__";0;1;0;1;0;1;0;0;1;0,00740391365391365;0,00866019297504917;0,00693951093951094;0,00856426602538653;0,00969754653130288;0,0107648851226619
